Sno,Profile_of_buyer,Education_of_buyer,Occupation_of_buyer ,Is_Current_Property_Rented ,Current_Locality,Area_of_Current_Property,Deed_Type ,Value_of_New_Property_per_sqft ,Locality_of_New_Property ,Area_of_New_Property  ,Mode_of_Payment ,Number_of_installations ,New_Property_Value ,Is_there_Pan_card ,Gross_Income_for_last_1_year ,Gross_Income_for_last_2_year ,Gross_Income_for_last_3_year ,Gross_Income_for_last_4_year ,Gross_Income_for_last_5_year ,Source_of_income_1 ,Source_of_income_2 ,Source_of_income_3 ,Number_of_properties_owned ,Is_Rental_Income ,Since_when_rental_income_declared ,Ratio_rental_income_to_property_value ,Property_value_calc_on_rental_income ,Is_property_Inherited ,Inherited_Property_Cost ,Is_property_sold ,How_much_value_property_sold ,Total_value_of_all_properties_owned ,Total_income_of_last_year ,Is_Loan_Taken ,Ratio_Loan_to_own ,Who_Lender ,Rate_of_interest_charged_on_load ,Number_of_bank_accounts ,Transaction_X1 ,Transaction_X2 ,Transaction_X5 ,Transaction_X10 ,Transaction_X20,Suspicion
10,1,3,9,0,4,910,0,68109,1,2453,1,10,72513668,0,2408833,2737864,2496986,2914466,3329161,0,0,3,1,1,0,0,0,0,57995604,1,0,155957827,1599883,0,87,0,9,0,5,4,2,0,0,0
11,0,4,6,0,4,886,0,47397,1,2595,1,6,32949540,0,1145577,1315216,2288990,2966806,3389220,0,0,3,2,1,0,0,0,0,36201619,1,0,146959807,1209373,0,85,1,9,1,5,2,0,0,0,0
12,0,3,8,0,4,996,0,50982,1,2429,1,5,89409812,0,1263907,1364949,2302205,2215927,2517036,0,0,3,2,1,0,0,0,0,31283439,1,0,86378639,1082356,0,98,0,9,1,1,4,1,0,0,0
13,0,4,8,0,2,1109,0,52488,1,2879,1,9,72069902,0,1576178,1668768,2038637,2725717,2839059,0,0,3,2,1,0,0,0,0,27677160,1,0,111738015,2181461,0,92,1,9,0,4,1,0,0,0,0
14,1,4,5,0,2,848,0,62012,1,2985,1,7,51856847,0,2475983,2604958,2241653,2688716,2545308,0,0,3,2,1,0,0,0,0,41420510,1,0,161652253,1388065,0,96,1,8,1,2,3,1,0,0,0
15,1,4,7,0,2,603,0,59407,1,2824,1,10,67137141,0,1689725,2633018,2127822,2442746,3304238,0,0,3,1,1,0,0,0,0,40207633,1,0,158384782,1482544,0,98,1,8,1,3,1,1,0,0,0
16,0,5,8,0,3,1184,0,63574,1,2202,1,9,35374779,0,1383938,1551153,2360308,2708853,3103135,0,0,3,2,1,0,0,0,0,55712754,1,0,108760412,2387761,0,89,0,9,1,5,1,1,0,0,0
17,1,5,9,0,3,1490,0,46288,0,2800,1,6,41545217,0,2052929,2609492,2638048,2981868,3278569,0,0,3,2,1,0,0,0,0,46388567,1,0,170754443,2133019,0,91,1,8,0,1,1,0,0,0,0
18,1,4,9,0,3,875,0,52943,1,2910,1,10,98560737,0,2301946,2754532,2477444,2578318,2773641,0,0,3,1,1,0,0,0,0,21894805,1,0,172185434,2179921,0,98,0,8,1,5,1,0,0,0,0
19,0,5,4,0,2,1306,0,57592,1,2975,1,10,90660441,0,1458411,2305044,2331656,2582306,2897442,0,0,3,1,1,0,0,0,0,50358018,1,0,67369842,2218055,0,87,0,9,0,2,1,2,0,0,0
20,1,4,9,0,2,758,0,56407,1,2513,1,6,50869398,0,1352559,2834816,2625219,2226786,3150371,0,0,3,1,1,0,0,0,0,29807420,1,0,109385349,1279440,0,93,1,9,0,1,1,1,0,0,0
21,0,4,5,0,2,838,0,62189,0,2157,1,10,26287874,0,2237901,2213039,2778005,2788738,2507432,0,0,3,2,1,0,0,0,0,43887242,1,0,95542482,1236878,0,91,1,9,0,1,4,2,0,0,0
22,1,5,8,0,3,752,0,69808,0,2879,1,9,94445986,0,1455714,2092234,2890360,2216062,2709259,0,0,3,2,1,0,0,0,0,21725440,1,0,109128604,2111114,0,94,1,8,1,3,1,0,0,0,0
23,1,4,8,0,2,712,0,64699,0,2961,1,7,98285391,0,1431204,2117276,2518507,2320478,2938047,0,0,3,1,1,0,0,0,0,23483696,1,0,189588370,2262175,0,92,1,9,1,5,3,0,0,0,0
24,1,5,9,0,3,926,0,58219,0,2889,1,7,41649379,0,1506807,2512931,2151283,2434063,3239833,0,0,3,2,1,0,0,0,0,49490139,1,0,122398613,1753385,0,85,0,9,0,4,0,0,0,0,0
25,1,5,5,0,3,776,0,60046,0,2682,1,7,26042435,0,2363543,2756601,2698902,2598765,3247883,0,0,3,1,1,0,0,0,0,41427871,1,0,167677615,1497000,0,90,0,9,0,2,4,1,0,0,0
26,1,3,8,0,4,523,0,46314,1,2129,1,7,86643750,0,1609946,2177037,2391771,2081324,2685956,0,0,3,1,1,0,0,0,0,59786531,1,0,138952883,1491227,0,91,1,9,1,2,4,0,0,0,0
27,1,4,9,0,3,757,0,68429,1,2151,1,5,91287269,0,2136361,2016090,2518329,2077037,2888522,0,0,3,2,1,0,0,0,0,46206146,1,0,65781613,1708573,0,95,1,8,0,5,3,0,0,0,0
28,0,5,9,0,2,594,0,68758,1,2184,1,5,61271659,0,2212796,2253511,2376235,2371219,2836825,0,0,3,2,1,0,0,0,0,45008018,1,0,133155280,2394788,0,89,1,9,1,3,2,2,0,0,0
29,0,3,6,0,2,1368,0,58238,0,2996,1,5,76178316,0,2443086,2779436,2163078,2670993,2819779,0,0,3,1,1,0,0,0,0,43315809,1,0,164408557,2131187,0,97,0,9,0,0,0,1,0,0,0
30,1,3,7,0,2,994,0,59621,1,2653,1,10,60695054,0,1654349,2770305,2595721,2932428,2530794,0,0,3,2,1,0,0,0,0,31086842,1,0,164254268,1168818,0,85,0,9,1,0,2,2,0,0,0
31,0,3,5,0,3,1210,0,66376,1,2544,1,10,46835166,0,1121669,1606540,2254596,2129925,3246030,0,0,3,1,1,0,0,0,0,45016890,1,0,145641036,2180812,0,94,1,9,0,1,4,2,0,0,0
32,1,3,8,0,4,1275,0,61758,0,2288,1,6,27957034,0,2301823,2564435,2467081,2218583,3029717,0,0,3,2,1,0,0,0,0,49713942,1,0,73909564,1847198,0,88,0,8,0,0,0,2,0,0,0
33,1,3,6,0,2,1264,0,56354,1,2604,1,7,60846235,0,1368134,1324103,2033852,2138557,2628979,0,0,3,2,1,0,0,0,0,21156812,1,0,67155164,1547276,0,95,1,8,0,0,3,1,0,0,0
34,0,5,5,0,4,813,0,53011,1,2557,1,6,59911547,0,1237974,1925873,2210091,2520800,2593075,0,0,3,2,1,0,0,0,0,41292306,1,0,146108314,1949428,0,98,1,9,0,0,4,2,0,0,0
35,0,4,5,0,4,795,0,55341,0,2648,1,8,90237320,0,1559162,1524021,2874201,2671242,2951412,0,0,3,1,1,0,0,0,0,55976877,1,0,66474246,1056119,0,83,1,9,1,4,0,2,0,0,0
36,1,4,9,0,2,1101,0,58289,1,2637,1,8,72857838,0,2078762,2693178,2527870,2900069,3173064,0,0,3,2,1,0,0,0,0,21055749,1,0,139590803,1809539,0,92,0,9,0,2,1,1,0,0,0
37,1,5,9,0,2,1200,0,51355,0,2001,1,6,82134386,0,2142929,1977020,2378190,2312195,2732654,0,0,3,2,1,0,0,0,0,42433792,1,0,98995849,1299516,0,90,0,9,1,0,1,0,0,0,0
38,1,4,4,0,4,1477,0,62410,1,2911,1,8,89380455,0,1765390,1366657,2919120,2585950,2880820,0,0,3,2,1,0,0,0,0,21676716,1,0,176579764,1953279,0,93,1,8,0,1,0,2,0,0,0
39,0,3,9,0,2,576,0,52940,0,2053,1,9,90395744,0,1627378,1487987,2092793,2520807,3387689,0,0,3,1,1,0,0,0,0,42737880,1,0,71872797,1009305,0,86,0,9,1,4,4,2,0,0,0
40,0,5,8,0,3,1122,0,48516,1,2791,1,6,84157687,0,1747630,2728326,2294226,2473793,3248435,0,0,3,1,1,0,0,0,0,57055813,1,0,109606554,1823767,0,89,1,9,1,5,1,0,0,0,0
41,0,4,6,0,3,889,0,60588,0,2353,1,5,47611018,0,1169117,2209868,2530349,2317916,2986069,0,0,3,1,1,0,0,0,0,39188219,1,0,158572825,2427633,0,98,0,9,0,5,4,1,0,0,0
42,0,3,4,0,3,747,0,58886,1,2383,1,10,54644666,0,1004496,2663508,2023985,2443689,2958168,0,0,3,1,1,0,0,0,0,41010139,1,0,142195578,1727185,0,94,1,9,0,5,1,2,0,0,0
43,1,5,8,0,3,736,0,57256,0,2142,1,8,60527868,0,1051053,1927750,2819925,2263047,3251430,0,0,3,2,1,0,0,0,0,47239286,1,0,71617430,1062442,0,80,0,9,1,5,1,2,0,0,0
44,0,4,7,0,4,585,0,66185,1,2829,1,9,55675081,0,1843967,1519188,2888443,2291104,3452598,0,0,3,2,1,0,0,0,0,20223101,1,0,145155297,1367646,0,92,0,9,1,0,3,2,0,0,0
45,0,4,8,0,4,1280,0,49292,0,2079,1,7,66465144,0,1591309,1625470,2980144,2831845,3004362,0,0,3,2,1,0,0,0,0,46108080,1,0,106105227,1031236,0,91,1,9,0,5,0,1,0,0,0
46,1,5,8,0,4,1199,0,68998,0,2629,1,9,75464537,0,1295646,2582516,2791725,2464001,3443478,0,0,3,2,1,0,0,0,0,50023389,1,0,163541036,1851563,0,81,1,9,1,2,0,0,0,0,0
47,1,3,9,0,3,1115,0,54988,1,2790,1,5,51001003,0,1259621,1977587,2350811,2086589,3030614,0,0,3,1,1,0,0,0,0,36129862,1,0,92263016,1398761,0,80,0,8,1,2,4,2,0,0,0
48,1,5,9,0,2,812,0,57068,0,2449,1,5,78769530,0,2374853,2067608,2253726,2387100,2606359,0,0,3,1,1,0,0,0,0,22534982,1,0,97940989,2454704,0,83,1,8,0,2,1,1,0,0,0
49,0,4,4,0,3,579,0,58656,1,2979,1,6,87631952,0,2266067,2810628,2288787,2519512,3098628,0,0,3,1,1,0,0,0,0,56791138,1,0,172496309,2466057,0,87,1,9,1,1,3,0,0,0,0
50,0,5,8,0,3,608,0,46220,0,2327,1,9,29544585,0,2127582,2721329,2514598,2327943,3438482,0,0,3,2,1,0,0,0,0,42829183,1,0,185390825,1287648,0,80,1,9,1,0,3,1,0,0,0
51,1,5,5,0,3,1142,0,53128,0,2220,1,9,40051113,0,1550079,1977376,2586173,2736036,2888747,0,0,3,2,1,0,0,0,0,33283272,1,0,178229092,2426613,0,99,0,8,0,1,0,1,0,0,0
52,1,3,9,0,2,754,0,66011,0,2855,1,10,64008496,0,1816378,2056874,2418522,2291105,3268957,0,0,3,2,1,0,0,0,0,37499298,1,0,115444751,1552256,0,81,0,9,0,2,2,0,0,0,0
53,1,3,8,0,2,1098,0,64558,1,2990,1,7,71137429,0,1292127,2616150,2562340,2599090,2736089,0,0,3,1,1,0,0,0,0,41219139,1,0,163342227,1783669,0,96,0,8,1,4,1,0,0,0,0
54,0,4,9,0,3,937,0,65160,0,2977,1,7,44939101,0,1804834,2211087,2161633,2685822,2511649,0,0,3,2,1,0,0,0,0,21422204,1,0,96936583,1036164,0,97,0,9,1,1,1,2,0,0,0
55,1,3,5,0,3,772,0,46700,1,2054,1,7,96638299,0,1134634,1438814,2284937,2008486,3245428,0,0,3,2,1,0,0,0,0,51845191,1,0,162321774,1588084,0,90,1,8,0,5,2,1,0,0,0
56,0,5,4,0,4,1435,0,64316,1,2558,1,6,34922944,0,1701812,1477378,2028834,2428615,3493500,0,0,3,2,1,0,0,0,0,40440026,1,0,162284438,2187697,0,93,1,8,0,0,0,0,0,0,0
57,1,3,7,0,2,1108,0,69849,1,2554,1,5,95847434,0,2182406,1397138,2696609,2553679,3469893,0,0,3,1,1,0,0,0,0,53077392,1,0,83103293,1896917,0,80,0,8,1,2,3,0,0,0,0
58,1,3,4,0,3,594,0,61732,1,2664,1,7,85681702,0,1997980,2089049,2685050,2396133,2964760,0,0,3,1,1,0,0,0,0,32728558,1,0,122075003,1250222,0,87,0,9,0,3,1,1,0,0,0
59,0,4,9,0,3,635,0,50699,0,2151,1,9,65989356,0,2093511,1938123,2652387,2365503,3085571,0,0,3,1,1,0,0,0,0,58696984,1,0,150121707,1899360,0,89,1,9,1,0,4,0,0,0,0
60,1,5,7,0,2,687,0,51606,1,2521,1,9,74107502,0,1475858,2304315,2139001,2129497,2958131,0,0,3,2,1,0,0,0,0,59151220,1,0,116966419,1667571,0,92,1,8,0,3,2,1,0,0,0
61,0,4,5,0,4,1344,0,67279,1,2577,1,6,45052574,0,1685664,2438778,2940038,2287760,3235446,0,0,3,1,1,0,0,0,0,47112416,1,0,170307039,1986501,0,97,1,9,1,1,2,1,0,0,0
62,1,5,4,0,3,580,0,56217,0,2741,1,6,77592187,0,1021763,1260032,2897884,2544219,2792232,0,0,3,2,1,0,0,0,0,55515508,1,0,135277134,1866474,0,85,1,8,0,5,2,2,0,0,0
63,1,5,8,0,2,559,0,46485,1,2044,1,6,90895060,0,1538938,2720097,2990502,2249544,2668434,0,0,3,1,1,0,0,0,0,43541197,1,0,100937944,2158418,0,95,1,8,0,2,0,0,0,0,0
64,1,4,7,0,3,1300,0,47898,1,2560,1,5,90758092,0,1066309,2373058,2972312,2837537,2616094,0,0,3,2,1,0,0,0,0,31224966,1,0,183054856,2385441,0,96,1,8,0,0,4,1,0,0,0
65,0,3,6,0,2,1127,0,69567,1,2981,1,9,72499467,0,2474778,1716396,2205295,2042427,3498919,0,0,3,2,1,0,0,0,0,41510419,1,0,120245571,2222580,0,84,0,8,1,1,1,0,0,0,0
66,1,3,4,0,3,1178,0,49418,1,2258,1,5,74356876,0,1798584,2286255,2527355,2946503,2567565,0,0,3,1,1,0,0,0,0,26048276,1,0,198368005,1853266,0,93,1,9,1,4,2,0,0,0,0
67,0,3,4,0,2,995,0,53067,1,2341,1,8,98174953,0,2251552,1924893,2791808,2345014,3041804,0,0,3,2,1,0,0,0,0,27838455,1,0,95122748,2310830,0,80,0,9,0,0,2,1,0,0,0
68,1,4,4,0,2,1431,0,65112,0,2601,1,5,84203184,0,2161430,1960473,2742129,2569511,2880577,0,0,3,1,1,0,0,0,0,48652695,1,0,98931707,2350044,0,90,0,9,0,4,1,2,0,0,0
69,1,4,8,0,4,1025,0,45569,1,2355,1,10,20290386,0,2481400,2237874,2579008,2794290,3052326,0,0,3,1,1,0,0,0,0,45882874,1,0,190457790,2340936,0,91,1,8,1,3,2,1,0,0,0
70,0,5,5,0,2,852,0,46271,1,2219,1,6,63682869,0,1950841,2548375,2718809,2205592,3320868,0,0,3,2,1,0,0,0,0,21965716,1,0,178869356,1669687,0,100,0,9,0,1,0,1,0,0,0
71,1,4,5,0,4,994,0,58339,1,2704,1,9,39482702,0,1795477,2816004,2528441,2591958,2581999,0,0,3,1,1,0,0,0,0,49045998,1,0,117213051,1241082,0,84,1,8,1,5,3,2,0,0,0
72,0,5,8,0,4,1180,0,53327,1,2392,1,8,30651935,0,2021051,2789221,2232686,2178537,2652588,0,0,3,1,1,0,0,0,0,28692533,1,0,187608075,1661695,0,84,0,9,0,2,0,1,0,0,0
73,0,5,9,0,3,1409,0,48410,1,2281,1,10,36460349,0,1415584,2797360,2893807,2216325,2550889,0,0,3,1,1,0,0,0,0,44700329,1,0,197721691,2257943,0,90,0,8,0,5,2,1,0,0,0
74,1,4,9,0,4,1294,0,68217,1,2621,1,8,78595713,0,1153555,1652819,2533993,2564244,3083155,0,0,3,1,1,0,0,0,0,56907710,1,0,186313709,1231983,0,96,1,9,1,3,0,0,0,0,0
75,0,4,7,0,3,1256,0,63680,1,2607,1,9,69794235,0,2135265,2011085,2934490,2024553,2812758,0,0,3,2,1,0,0,0,0,38570961,1,0,143302235,1917470,0,86,1,8,0,3,1,0,0,0,0
76,1,3,9,0,3,1382,0,52853,1,2259,1,6,64085038,0,2335034,2091519,2541477,2033212,2575176,0,0,3,2,1,0,0,0,0,57458708,1,0,94527798,1233567,0,92,0,8,0,4,2,0,0,0,0
77,0,5,7,0,4,1240,0,54872,0,2854,1,7,36582822,0,1365718,1887310,2698136,2203696,3107363,0,0,3,2,1,0,0,0,0,51917267,1,0,180381921,1175939,0,94,0,9,0,1,1,2,0,0,0
78,1,4,4,0,3,678,0,45658,1,2789,1,6,36337913,0,2393224,1483038,2710453,2666355,3050402,0,0,3,1,1,0,0,0,0,30371033,1,0,104992322,1729820,0,100,0,9,0,3,2,2,0,0,0
79,1,5,6,0,2,527,0,51588,1,2433,1,6,60349553,0,1053115,1556757,2125512,2110265,2526439,0,0,3,1,1,0,0,0,0,41166563,1,0,90140834,1453547,0,86,1,9,1,2,4,1,0,0,0
80,0,4,4,0,3,711,0,64281,0,2132,1,10,36676742,0,1463501,2781622,2973069,2529133,2989093,0,0,3,2,1,0,0,0,0,30270322,1,0,125771640,1192725,0,84,1,9,1,2,0,2,0,0,0
81,0,5,7,0,4,1014,0,65586,1,2978,1,10,45921822,0,2493658,2350873,2530588,2907660,2524939,0,0,3,2,1,0,0,0,0,22581490,1,0,80828393,1470199,0,94,1,8,1,1,1,0,0,0,0
82,0,3,6,0,3,1271,0,65824,1,2489,1,7,58098989,0,2472201,1638864,2055354,2472113,3102398,0,0,3,1,1,0,0,0,0,39022216,1,0,67799621,1122352,0,91,0,8,1,1,2,2,0,0,0
83,1,4,5,0,3,878,0,57692,0,2438,1,9,70673914,0,1011073,2484703,2504956,2062289,2590956,0,0,3,1,1,0,0,0,0,54530215,1,0,149391120,1768322,0,93,1,9,1,2,0,0,0,0,0
84,0,3,7,0,3,535,0,52759,1,2222,1,5,99015950,0,2066583,1441093,2164225,2415474,3178095,0,0,3,2,1,0,0,0,0,56716786,1,0,177348765,1161206,0,85,0,8,0,2,3,1,0,0,0
85,1,4,8,0,4,1231,0,61249,1,2827,1,6,41266861,0,1497830,2876523,2399442,2666552,2781424,0,0,3,2,1,0,0,0,0,40820290,1,0,92964403,2148919,0,89,0,8,0,5,4,1,0,0,0
86,1,4,6,0,2,1165,0,57780,1,2252,1,5,26457285,0,2008656,1253914,2627445,2551227,3305456,0,0,3,1,1,0,0,0,0,37608307,1,0,145952707,2050828,0,96,0,8,1,5,3,2,0,0,0
87,1,4,9,0,2,727,0,52336,0,2915,1,10,99235993,0,1441078,1710011,2674895,2297442,3273060,0,0,3,1,1,0,0,0,0,35701944,1,0,140489269,1971027,0,80,0,9,0,3,4,2,0,0,0
88,1,5,6,0,2,870,0,61288,0,2359,1,9,21200199,0,1291471,2953590,2701232,2983240,2954948,0,0,3,2,1,0,0,0,0,34914795,1,0,78197521,1712807,0,93,1,9,1,4,4,1,0,0,0
89,1,4,6,0,3,1129,0,69076,1,2017,1,6,84043671,0,1600939,1514846,2133098,2066499,3272191,0,0,3,1,1,0,0,0,0,22587663,1,0,149992167,1001566,0,94,1,8,1,1,0,0,0,0,0
90,1,5,9,0,4,875,0,68497,0,2499,1,8,49141050,0,1881149,2279435,2400369,2781401,2961258,0,0,3,1,1,0,0,0,0,20489833,1,0,66109695,2460857,0,84,1,9,0,3,1,1,0,0,0
91,0,5,8,0,4,698,0,47630,1,2178,1,6,84819634,0,2464546,2533542,2682636,2357743,3443858,0,0,3,1,1,0,0,0,0,25575810,1,0,116794294,1739306,0,86,0,8,1,2,1,0,0,0,0
92,1,5,4,0,2,1134,0,49497,1,2388,1,10,74446073,0,1578995,2323631,2496249,2464212,2968279,0,0,3,2,1,0,0,0,0,37484201,1,0,72315360,1597217,0,96,0,8,0,4,2,2,0,0,0
93,0,5,5,0,4,796,0,64514,1,2902,1,7,60676775,0,1936961,2516670,2352882,2836345,3462039,0,0,3,1,1,0,0,0,0,55459010,1,0,123133086,1622747,0,83,0,8,0,4,2,2,0,0,0
94,0,3,6,0,4,718,0,66187,1,2376,1,6,95398641,0,2009843,1479177,2647392,2752469,3486309,0,0,3,2,1,0,0,0,0,24133725,1,0,158312738,1193968,0,95,0,9,0,1,1,2,0,0,0
95,1,4,7,0,3,693,0,60984,1,2539,1,9,53401739,0,1637145,2639835,2081368,2332381,3273177,0,0,3,2,1,0,0,0,0,53618726,1,0,198018738,2207792,0,93,0,8,0,0,0,1,0,0,0
96,0,3,8,0,3,623,0,50108,0,2399,1,6,96828472,0,1356143,2295580,2193947,2887479,2960812,0,0,3,2,1,0,0,0,0,53765494,1,0,123624852,1820140,0,85,1,9,0,1,2,1,0,0,0
97,1,4,4,0,4,1095,0,45835,1,2088,1,7,88816404,0,1128394,2241208,2983513,2363512,2616847,0,0,3,2,1,0,0,0,0,41051266,1,0,86567478,1391728,0,91,0,9,0,4,3,0,0,0,0
98,0,4,9,0,3,1136,0,59869,0,2201,1,5,54816048,0,2005614,2534559,2999887,2272569,3243937,0,0,3,2,1,0,0,0,0,44559332,1,0,71748845,1801798,0,98,1,9,0,0,0,2,0,0,0
99,1,4,6,0,4,1136,0,58643,0,2849,1,8,33932076,0,2386510,1597385,2031988,2555127,3385690,0,0,3,2,1,0,0,0,0,24438496,1,0,102058728,1955600,0,86,1,8,1,5,3,1,0,0,0
100,0,4,5,0,4,519,0,63972,0,2203,1,9,84219437,0,2407180,1837490,2101997,2737960,2849448,0,0,3,1,1,0,0,0,0,20322767,1,0,140799888,1795785,0,90,0,9,0,3,0,0,0,0,0
101,1,4,5,0,3,1083,0,54504,0,2069,1,8,80456831,0,1458689,2528234,2535245,2259397,3051154,0,0,3,1,1,0,0,0,0,40868203,1,0,184790777,1557203,0,98,0,9,0,2,1,2,0,0,0
102,0,4,4,0,4,827,0,61673,0,2077,1,5,21806238,0,2235963,1473090,2840692,2079333,3248070,0,0,3,1,1,0,0,0,0,45172886,1,0,139290765,1216077,0,87,0,9,0,1,2,2,0,0,0
103,0,3,4,0,2,651,0,51602,1,2005,1,10,58605692,0,1466330,2886733,2802136,2947929,3087689,0,0,3,1,1,0,0,0,0,33512400,1,0,136541540,1147244,0,86,1,8,1,2,4,0,0,0,0
104,1,5,5,0,2,1034,0,65122,1,2325,1,8,78487610,0,2438103,2442768,2205854,2698384,2896180,0,0,3,1,1,0,0,0,0,45151007,1,0,63379225,1609522,0,95,1,9,0,0,2,2,0,0,0
105,0,4,8,0,2,1200,0,61645,0,2048,1,5,57189605,0,1651448,1747191,2161938,2270845,3171615,0,0,3,2,1,0,0,0,0,31913193,1,0,95420205,2215971,0,91,0,9,1,2,4,1,0,0,0
106,1,3,5,0,3,596,0,62812,1,2311,1,6,26625089,0,1581541,2462132,2378424,2299434,3024799,0,0,3,1,1,0,0,0,0,58994898,1,0,199766651,1475358,0,85,0,8,0,4,2,1,0,0,0
107,0,4,8,0,3,1164,0,55908,1,2975,1,7,25199475,0,1202874,2982488,2524093,2723931,3054924,0,0,3,1,1,0,0,0,0,53015476,1,0,176502131,1694333,0,91,1,8,1,1,2,2,0,0,0
108,0,3,5,0,4,857,0,53946,0,2897,1,8,92543636,0,2058728,2231448,2757661,2388623,2519417,0,0,3,1,1,0,0,0,0,38366293,1,0,82317395,1457309,0,87,0,9,1,4,0,2,0,0,0
109,1,3,6,0,4,1272,0,66749,1,2786,1,10,67152932,0,1648934,2129544,2143675,2912406,3175595,0,0,3,2,1,0,0,0,0,27825700,1,0,97512284,1121057,0,100,0,9,0,3,1,0,0,0,0
110,1,3,9,0,2,1465,0,53178,1,2421,1,10,60530423,0,1692857,2647688,2234890,2662815,2848892,0,0,3,1,1,0,0,0,0,54518028,1,0,155887976,2366179,0,93,1,8,0,1,0,0,0,0,0
111,1,5,7,0,2,841,0,57766,1,2191,1,10,24628588,0,1081860,2672703,2939740,2009212,2963503,0,0,3,1,1,0,0,0,0,59448974,1,0,152290158,1071667,0,94,1,9,0,5,1,0,0,0,0
112,1,4,6,0,4,553,0,62560,1,2371,1,7,69556843,0,2168088,2995308,2487677,2134618,2840325,0,0,3,2,1,0,0,0,0,37224795,1,0,168155851,1315435,0,98,1,9,1,5,2,2,0,0,0
113,0,3,5,0,4,1254,0,58406,0,2709,1,5,53307835,0,1823042,1520029,2275536,2000942,2983079,0,0,3,2,1,0,0,0,0,30021724,1,0,69099659,1233634,0,92,0,8,1,5,3,1,0,0,0
114,0,3,4,0,3,943,0,50642,0,2989,1,10,57509335,0,2400595,2992451,2330795,2231966,3359898,0,0,3,1,1,0,0,0,0,46651183,1,0,136142364,1661765,0,100,0,9,0,2,3,0,0,0,0
115,0,4,9,0,3,1191,0,65414,1,2874,1,10,77134468,0,1983934,1797379,2133561,2269875,2540395,0,0,3,2,1,0,0,0,0,56623041,1,0,112519300,1336653,0,92,1,9,0,0,3,1,0,0,0
116,1,4,7,0,3,698,0,53106,1,2013,1,9,83387007,0,2315180,2816388,2554834,2490959,2915323,0,0,3,2,1,0,0,0,0,50888759,1,0,178137801,2351575,0,86,0,9,0,5,1,0,0,0,0
